file|general|aasist|aasist_cue|aasist_loc|aasist_audible|camhfa|camhfa_cue|camhfa_loc|camhfa_audible|sls|sls_cue|sls_loc|sls_audible|aasist_range/start|aasist_range/end|camhfa_range/start|camhfa_range/end|sls_range/start|sls_range/end|similarity|aasist_range|camhfa_range|sls_range
E_0005900825|No spaces between words or sentences, flat melodic line of voice, codec/synthesizer noise|very diffuse attribution, focusing on background noise|noise|1|true|consonant burst|phoneme|4|true|noise over the whole recording, not sure what the attribution is|unclear|1|true|0|5.267812728881836|0.8436228208844995|0.9251944931328735|0|4.050766339795343|AASIST and SLS focus on background noise, CAMHFA localized phoneme artefact|||
E_0009933927|robotic start, unintelligible/not English/very strong accent|Focuses on an unvoiced segment with hearable noise|noise|2|true|Robotic voice|glitch|5|true|Spiky over the whole recording|noise|1|false|0.8790003909458449|1.6326887426866004|0.256072427940835|0.3904650496970179|0|4.051755934297892|AASIST focuses on noisy segment, CAMHFA on robotic burst, SLS is diffuse over the recording|||
E_0002422651|Very robotic, sounds like speaking into a metal box.|Unnatural, cut breath-in|breath|2|true|"Loud and hissing ""s"""|phoneme|5|true|"Robotic/unnatural ""th"" phoneme"|glitch|2|true|6.323558744027931|6.7063312930796535|4.382355102408487|4.495624530189097|2.50364493818524|2.745807163095513|All pretty localized, focusing on different parts|||
E_0007195967|low-quality, sounds like a very aggressive compression |"Multiple segments marked more important. The content of marked regions is a wierd phoneme ""e"""|phoneme|3|true|"Swallowed end of a word, phoneme something like ""sir"""|phoneme|5|true|Unnatural end and start of words|transition|3|true|1.542447884877523|1.9308883057635493|5.287315243516594|5.4042244964046215|3.1452360293101567|4.0277123253036535|Different regions but similar cues|||
E_0002572389|Absolutely  unintelligible, very robotic, cut off multiple times per word, sounds like unpolished concatenation of short segments|Artifacts over the whole recordings|glitch|1|true|Robotic start of sentence|transition|5|true|Artifacts over the whole recordings|glitch|1|true|-0.11331591648888374|6.319937705993652|2.5393066740463492|2.644896505320082|0|4.014988950140221|AASIST and SLS spread over the whole recording, CAMHFA labelled wierd sentence start|||
E_0007978120|Very robotic over the whole recording, cut-off mutliple times in word, unintelligible|Spread over the whole recording, but the start is the biggest attribution. Robotic start of the recording.|glitch|1|true|Unintelligible robotic burst|glitch|5|true|Robotic cuts during speaking|glitch|2|true|0|0.13519831955092848|3.0202794405339497|3.1146631730506353|0|4.038093204700374|Pretty similar, CAMHFA much more localized|||
E_0006124110|Robotic, compression artifacts, sometimes sounds like played backwards|"Robotic vowel ""i"""|phoneme|4|true|"End of word ""th"""|transition|5|true|Higher attribution at the end, but spread attributions over the whole recording|unclear|1|false|2.91427734836681|3.4975115415422335|0.780170414247645|0.8502342621291082|-0.09089364049487125|4.050447854552701|AASIST and CAMHFA focus on phonemes, SLS unclear|||
E_0002107355|Unintelligible, very cut off words|Spread over the recording, but higher attribution where artefacs are more frequent|glitch|2|true|"Unnatural, very ""breathy"" phoneme ""q"""|phoneme|5|true|"Spread over the recording, higher attribution where wierd phonemes ""s"" and ""e"""|glitch|2|true|3.288736426937162|4.103494354642885|4.099250823769418|4.24565263890404|3.129604019182138|4.037719626104142|Yes, focusing on similar region where the artefacs are most frequent and hearable|||
E_0008021319|Robotic voice and reverb|Highest attribution in the most robotic phoneme|glitch|4|true|"Robotic phoneme ""e"""|glitch|4|true|Unnatural cut in recording|glitch|3|true|0.3318307644580571|0.5417066325768282|0.5417066325768282|0.6438084062562304|3.190680427481318|3.499821908899508|AASIST and CAMHFA similar regions, SLS focuses on wierd cut which AASIST and CAMHFA ignore|||
E_0006333696|Lossy/compressed, flat voice, not very intelligible |While the recording is pretty muted at higher frequencies (sounds like filtered), the start is not and has the highest attribution by AASIST|glitch|4|true|Silent, but weird, unnatural breath in the selected region|breath|5|true|Significant jitter/voice hopping like a robot, but otherwise pretty spread|glitch|4|true|0|0.22051307274834742|2.4027757778727334|2.577552805902905|3.435103644368701|3.7029861920037304|Different parts and different features|||
E_0001754777|Fast and cutty speech, no noise or reverb|Melodic modulation of the voice, seems natural for me but flagged by AASIST|phoneme|4|true|Labelled multiple places with vowels|phoneme|4|true|Robotic voice? Spectrogram reveals missing bands (~1000Hz) over the whole recording|spectral|3|false|3.576196920803726|4.074310063344245|3.3769516637875183|3.456138881319601|0|4.033439241392203|Not very similar|||
E_0002731579|Cutty speech, no noise/reverb|"Highest attribution at a place where word ends with robotic ""t"" and the following word begins with ""t"""|transition|3|true|"Sudden ""clicky"" word/sentence start"|transition|5|true|End of word, no reverb, very silent silence (no noise)|silence|3|false|4.90324931214666|5.2383733547695694|0.12086440881481963|0.2005250418973144|3.4254072225472747|4.0352231033856825|Not very similar|||
E_0007073528|Sounds like speaking in a metal box with added resonance on vowels... |Localized segment with unnaturally prolonged phonemes|glitch|4|true|Multiple regions with buzzy vowels|phoneme|4|true|buzzy vowels and speech|phoneme|3|true|2.7129850504159343|3.4130098627365593|4.181481545595202|4.293485515566501|3.201446808346326|4.019698033414435|Similar cues and neighboring regions, but not the same regions|||
E_0005076209|Unintelligible, noisy, lossy, unnatural wierd reverb|"Hissing ""s"" phonemes"|phoneme|4|true|"Robotic buzzy ""e"" phonemes"|phoneme|5|true|End of word and pause without reverb, unnatural end|transition|4|true|0.25109859045288285|0.7494327161209119|0.19701581712456964|0.3013183085434594|3.4883388796762036|3.866918292974396|AASIST and CAMHFA same region but have different phonemes. SLS focuses on word end and silence.|||
E_0002764943|Flat voice, sounds slow-mo, robotic. Absolutely black spectrogram in silent places (suspiciously ideal silence).|Initial silence, abrupt start of the recording?|silence|5|false|"phonemes in ""suburbs"""|phoneme|4|true|The suspiciously ideal silence.|silence|4|false|0|0.08391106099546101|4.880826714569316|5.197824056107724|1.8810062839815842|2.3704874731217735|Different regions/cues|||
E_0009305742|noisy, radio-like voice|Vowel buzz|phoneme|2|true|Vowel buzz|phoneme|4|true|Unclear, probably some noise?|unclear|1|false|1.2789853983228539|1.4559519314241294|2.630366196550775|2.7054429075634374|0|4.032691905823003|AASIST and CAMHFA focus on wierd vowels in the recording, SLS unclear|||
E_0002094517|Unintelligible, very robotic voice|"The word ""speaking"" is wierdly pronounced and robotic"|phoneme|4|true|Labelled segment with the most robotic voice in the recording|glitch|4|true|"the vowel pronunciation on ""e-*nough*"" is robotic and labelled the highest"|glitch|3|true|5.644292860373113|6.3909249589417945|5.106594847000607|5.2202795698279365|0.2796029669537035|0.6483101761234225|Similar cues but different regions|||
E_0000020884|"Unintelligible, breathy ""darth vader"" voice without the voice"|Spread over the recording, but highest at the start and end of recording, probably artificial cutoffs or spectral artifacts|spectral|1|false|Robotic buzz|glitch|5|true|Spread over the recording, but highest at the start of the recording, probably artificial cutoffs or spectral artifacts|glitch|2|false|5.672916068813134|5.783687591552734|3.900571704979533|3.994845341353661|0|0.10370100001154046|AASIST and SLS focus on the start of the recording, probably cutoffs, while CAMHFA labelled a robotic buzz |||
E_0006730930|Reasonable voice, sounds artificial, missing low frequencies in some parts of the recording|Spread over the recording, but highest at the start of the recording, probably cutoffs or wierd word start|transition|3|false|"Unnatural word start ""of which"", the ""o"" is buzzy"|transition|5|true|Unclear|unclear|1|false|0|0.1359974278991749|3.8777644982062034|3.9880326829893185|0|4.010086319945941|Different|||
E_0003066561|Cutty, jittery speech, unpolished segment concatenation, probably|"Again spread over the recording, but highest at the start and end of recording. Very clicky ""th"" phoneme at the start"||3|false|"Robotic ""o"" phoneme"|glitch|5|true|Evenly spread over the recording|unclear|1|true|0|0.11441218707264199|0.5979655814928647|0.6584097557953926|0|4.019537591118102|Different regions and cues|||
E_0007063230|"Unintelligible, very ""filtered"" like, distortion applied to the voice?"|Spread, highest attribution at the beginning|silence|1|false|Weird click/cutoff at the end|glitch|4|true|Unclear, spread over the whole recording|unclear|1|false|0|0.1363794343104281|6.106768003011392|6.19768762588501|0.007576635239468227|4.04339767279621|Not really simillar|||
E_0009270949|Unintelligible, messy and blurry spectra, no clear frequency bands like bona fide speech|IG labelled the most intelligible part (still very robotic), otherwise its pretty much noise|phoneme|3|true|wierd artefacts|glitch|4|true|Spread, attribution is higher during speech segments|unclear|2|false|3.2494906924464595|4.290495195715235|0.16150163321739888|0.34440709734312774|0|1.2355847842535939|Different regions|||
E_0007540338|"Very ""nosy"" voice, cutty speech, might be very compressed"|Higher attribution on vowels|phoneme|4|true|Transitions between ends and starts of words|transition|4|true|"Highest attribution on a robotic ""she must"""|glitch|4|false|0|1.108860285377347|4.075861660173101|4.435441141509388|0.7379851135278778|1.108860285377347|Different regions and cues|||
